"","Variable","TestDataAverage","TrainDataAverage"
"1","tBodyAcc-mean()-X",0.273995840740414,0.27448812496352
"2","tBodyAcc-mean()-Y",-0.0178634002668453,-0.0176954273577941
"3","tBodyAcc-mean()-Z",-0.108386200206006,-0.10914102015124
"4","tBodyAcc-std()-X",-0.613634902884459,-0.605438451136836
"5","tBodyAcc-std()-Y",-0.508329846887119,-0.510937560960832
"6","tBodyAcc-std()-Z",-0.633797111077676,-0.604753690501853
"7","tBodyAcc-mad()-X",-0.641277619486155,-0.630512126647159
"8","tBodyAcc-mad()-Y",-0.52267567671643,-0.526907431433227
"9","tBodyAcc-mad()-Z",-0.637038485293099,-0.606150484997695
"10","tBodyAcc-max()-X",-0.462063111264567,-0.468604011850173
"11","tBodyAcc-max()-Y",-0.303028258056512,-0.306043159313513
"12","tBodyAcc-max()-Z",-0.574975252359437,-0.557120618353656
"13","tBodyAcc-min()-X",0.529678540641469,0.523550736319554
"14","tBodyAcc-min()-Y",0.394902964572559,0.387385510912532
"15","tBodyAcc-min()-Z",0.60712178687852,0.594374303956926
"16","tBodyAcc-sma()",-0.563358920028188,-0.547568888295005
"17","tBodyAcc-energy()-X",-0.838978018330166,-0.820040931092492
"18","tBodyAcc-energy()-Y",-0.904776811917204,-0.901873522711426
"19","tBodyAcc-energy()-Z",-0.876809632951137,-0.845783932253863
"20","tBodyAcc-iqr()-X",-0.701178735948456,-0.68434492158116
"21","tBodyAcc-iqr()-Y",-0.642868482705803,-0.643769625478819
"22","tBodyAcc-iqr()-Z",-0.664678191114564,-0.631068632269322
"23","tBodyAcc-entropy()-X",-0.0936940676737122,-0.10299255895546
"24","tBodyAcc-entropy()-Y",-0.105882956366542,-0.137937286278996
"25","tBodyAcc-entropy()-Z",-0.142689883593354,-0.163945594302924
"26","tBodyAcc-arCoeff()-X,1",-0.124831157675239,-0.116598648106366
"27","tBodyAcc-arCoeff()-X,2",0.123072520684917,0.102761953527314
"28","tBodyAcc-arCoeff()-X,3",-0.030495174996375,-0.0377855024698667
"29","tBodyAcc-arCoeff()-X,4",0.10085308445587,0.130476869721699
"30","tBodyAcc-arCoeff()-Y,1",-0.0382765967011181,-0.0262292137447367
"31","tBodyAcc-arCoeff()-Y,2",0.0452001604503868,0.0263218549804207
"32","tBodyAcc-arCoeff()-Y,3",0.143127775742856,0.159965537832784
"33","tBodyAcc-arCoeff()-Y,4",-0.014339435044357,-0.0195748866481605
"34","tBodyAcc-arCoeff()-Z,1",-0.0021453228795979,0.00941956672418797
"35","tBodyAcc-arCoeff()-Z,2",0.0488022579490876,0.0332905745017126
"36","tBodyAcc-arCoeff()-Z,3",0.029028001385263,0.0365865770597583
"37","tBodyAcc-arCoeff()-Z,4",-0.0927206607087275,-0.0786401454795779
"38","tBodyAcc-correlation()-X,Y",-0.108278892926213,-0.125130584848324
"39","tBodyAcc-correlation()-X,Z",-0.207585210405497,-0.193802320695826
"40","tBodyAcc-correlation()-Y,Z",0.0951980705814486,0.105005085293028
"41","tGravityAcc-mean()-X",0.681960209973532,0.664121888659956
"42","tGravityAcc-mean()-Y",-0.0133426880797622,0.0110060404600615
"43","tGravityAcc-mean()-Z",0.0877366326193237,0.0939202735348508
"44","tGravityAcc-std()-X",-0.966914858384798,-0.964522577547742
"45","tGravityAcc-std()-Y",-0.956214986723108,-0.953683718801428
"46","tGravityAcc-std()-Z",-0.943820796502545,-0.936928889663357
"47","tGravityAcc-mad()-X",-0.967717184794706,-0.965336259395267
"48","tGravityAcc-mad()-Y",-0.957052035299966,-0.954683418221586
"49","tGravityAcc-mad()-Z",-0.945035544163556,-0.93827049801333
"50","tGravityAcc-max()-X",0.621265874336953,0.604164839044899
"51","tGravityAcc-max()-Y",-0.0278827001641792,-0.00328246850277339
"52","tGravityAcc-max()-Z",0.0912013999104971,0.0989591729446272
"53","tGravityAcc-min()-X",0.696877692571089,0.678504727491363
"54","tGravityAcc-min()-Y",4.23754028571434e-05,0.0232480284650987
"55","tGravityAcc-min()-Z",0.0761940447500392,0.0806140235845599
"56","tGravityAcc-sma()",-0.149111539767649,-0.0783346911604162
"57","tGravityAcc-energy()-X",0.46989719006074,0.436710564447606
"58","tGravityAcc-energy()-Y",-0.69924297445436,-0.7303794263239
"59","tGravityAcc-energy()-Z",-0.81077038602002,-0.744705000066458
"60","tGravityAcc-iqr()-X",-0.969918877654225,-0.967566852700898
"61","tGravityAcc-iqr()-Y",-0.959974242519172,-0.958039080442737
"62","tGravityAcc-iqr()-Z",-0.949201597227689,-0.94300194609494
"63","tGravityAcc-entropy()-X",-0.692882931691416,-0.667508083547164
"64","tGravityAcc-entropy()-Y",-0.860641165251524,-0.869134796574415
"65","tGravityAcc-entropy()-Z",-0.630145192831905,-0.684715114592873
"66","tGravityAcc-arCoeff()-X,1",-0.476038977996804,-0.51577063998074
"67","tGravityAcc-arCoeff()-X,2",0.51721397798697,0.553177228556761
"68","tGravityAcc-arCoeff()-X,3",-0.557640325267458,-0.589907536811746
"69","tGravityAcc-arCoeff()-X,4",0.597360399978463,0.626018563514649
"70","tGravityAcc-arCoeff()-Y,1",-0.3393521043496,-0.345328378006251
"71","tGravityAcc-arCoeff()-Y,2",0.328286531496997,0.330943890827331
"72","tGravityAcc-arCoeff()-Y,3",-0.361658625298962,-0.360378757801164
"73","tGravityAcc-arCoeff()-Y,4",0.412672067060801,0.407353580856434
"74","tGravityAcc-arCoeff()-Z,1",-0.420432203285514,-0.43114964781995
"75","tGravityAcc-arCoeff()-Z,2",0.446074077539545,0.456290671495728
"76","tGravityAcc-arCoeff()-Z,3",-0.471114518153192,-0.480829554477573
"77","tGravityAcc-arCoeff()-Z,4",0.492923284079152,0.502121957687598
"78","tGravityAcc-correlation()-X,Y",0.147925191293247,0.186809173900154
"79","tGravityAcc-correlation()-X,Z",-0.115799309419919,-0.105276827345092
"80","tGravityAcc-correlation()-Y,Z",0.0753145228077842,0.0886706094819831
"81","tBodyAccJerk-mean()-X",0.0784697125150543,0.079125880857262
"82","tBodyAccJerk-mean()-Y",0.00643293275476926,0.00855545432909572
"83","tBodyAccJerk-mean()-Z",-0.00462870647020455,-0.00469313372794117
"84","tBodyAccJerk-std()-X",-0.630368264434513,-0.643554061106133
"85","tBodyAccJerk-std()-Y",-0.601275978117245,-0.61065549430083
"86","tBodyAccJerk-std()-Z",-0.768680139539871,-0.760471339113483
"87","tBodyAccJerk-mad()-X",-0.629075287068601,-0.639969008462612
"88","tBodyAccJerk-mad()-Y",-0.59132032701414,-0.59513917948788
"89","tBodyAccJerk-mad()-Z",-0.762115788897489,-0.754265346179818
"90","tBodyAccJerk-max()-X",-0.697886668106186,-0.700322817631569
"91","tBodyAccJerk-max()-Y",-0.740574848755887,-0.750743215513824
"92","tBodyAccJerk-max()-Z",-0.819783432506074,-0.818296977122851
"93","tBodyAccJerk-min()-X",0.597136073879097,0.623609658998928
"94","tBodyAccJerk-min()-Y",0.676611792737598,0.688180470491121
"95","tBodyAccJerk-min()-Z",0.74761935302002,0.736369024484325
"96","tBodyAccJerk-sma()",-0.644975049324398,-0.647799466743191
"97","tBodyAccJerk-energy()-X",-0.850121541484425,-0.850424087898109
"98","tBodyAccJerk-energy()-Y",-0.825422686284289,-0.827988576749864
"99","tBodyAccJerk-energy()-Z",-0.938758190356294,-0.927484221392218
"100","tBodyAccJerk-iqr()-X",-0.624225185013788,-0.628798269107514
"101","tBodyAccJerk-iqr()-Y",-0.665006439875735,-0.657759059074976
"102","tBodyAccJerk-iqr()-Z",-0.775305616859518,-0.769041241729546
"103","tBodyAccJerk-entropy()-X",-0.0406110321492704,-0.0994407129051034
"104","tBodyAccJerk-entropy()-Y",-0.0583126521608415,-0.0997354094367111
"105","tBodyAccJerk-entropy()-Z",-0.111540277055511,-0.133659967603326
"106","tBodyAccJerk-arCoeff()-X,1",-0.113182488622263,-0.106725125792398
"107","tBodyAccJerk-arCoeff()-X,2",0.188677474302819,0.162035615248683
"108","tBodyAccJerk-arCoeff()-X,3",0.0775271044212929,0.0636270060000807
"109","tBodyAccJerk-arCoeff()-X,4",0.140801038844995,0.120722456417867
"110","tBodyAccJerk-arCoeff()-Y,1",-0.0812909336159959,-0.0692813254491771
"111","tBodyAccJerk-arCoeff()-Y,2",0.0794267973484839,0.0643924942522108
"112","tBodyAccJerk-arCoeff()-Y,3",0.178319626971035,0.173007955434668
"113","tBodyAccJerk-arCoeff()-Y,4",0.295103295460865,0.322017026601047
"114","tBodyAccJerk-arCoeff()-Z,1",-0.039369891513228,-0.0300148254321513
"115","tBodyAccJerk-arCoeff()-Z,2",0.101401009377384,0.0835868711095593
"116","tBodyAccJerk-arCoeff()-Z,3",0.00538517289930974,-0.00361364808852285
"117","tBodyAccJerk-arCoeff()-Z,4",0.136012848510723,0.139456541904157
"118","tBodyAccJerk-correlation()-X,Y",-0.121477323631695,-0.1447952979001
"119","tBodyAccJerk-correlation()-X,Z",-0.0108891456586678,0.00860281858823313
"120","tBodyAccJerk-correlation()-Y,Z",0.060401045257794,0.0883003566683912
"121","tBodyGyro-mean()-X",-0.0404591982000808,-0.0271838109741607
"122","tBodyGyro-mean()-Y",-0.0711158768398755,-0.0761639680551519
"123","tBodyGyro-mean()-Z",0.0927712770018086,0.0865879927790158
"124","tBodyGyro-std()-X",-0.721952604411164,-0.720887954557821
"125","tBodyGyro-std()-Y",-0.699552838250048,-0.675879523019533
"126","tBodyGyro-std()-Z",-0.651537332905511,-0.654518805806124
"127","tBodyGyro-mad()-X",-0.726672457324737,-0.726409630436221
"128","tBodyGyro-mad()-Y",-0.709350753321687,-0.688594957813224
"129","tBodyGyro-mad()-Z",-0.667133493630356,-0.667240314204733
"130","tBodyGyro-max()-X",-0.652220352980156,-0.642785563357965
"131","tBodyGyro-max()-Y",-0.749477383129216,-0.733367585712761
"132","tBodyGyro-max()-Z",-0.480238884451422,-0.485771947485626
"133","tBodyGyro-min()-X",0.627183867186291,0.634299859688153
"134","tBodyGyro-min()-Y",0.739657405430607,0.732093777849497
"135","tBodyGyro-min()-Z",0.554554612126335,0.561129002432142
"136","tBodyGyro-sma()",-0.608639901484514,-0.600387213662305
"137","tBodyGyro-energy()-X",-0.905122329854089,-0.90023986870306
"138","tBodyGyro-energy()-Y",-0.902243300212114,-0.877017124016023
"139","tBodyGyro-energy()-Z",-0.877466903847642,-0.871187573842451
"140","tBodyGyro-iqr()-X",-0.728199565043961,-0.729636096123857
"141","tBodyGyro-iqr()-Y",-0.727121589043739,-0.713226724649556
"142","tBodyGyro-iqr()-Z",-0.724224167025932,-0.718642243891921
"143","tBodyGyro-entropy()-X",-0.140184311995521,-0.146813507105764
"144","tBodyGyro-entropy()-Y",-0.0720891139177299,-0.11013528953855
"145","tBodyGyro-entropy()-Z",-0.0321750740144011,-0.075712185098414
"146","tBodyGyro-arCoeff()-X,1",-0.230316672172525,-0.21987365872343
"147","tBodyGyro-arCoeff()-X,2",0.162890377509215,0.141665949460858
"148","tBodyGyro-arCoeff()-X,3",0.102003642523253,0.139116895904714
"149","tBodyGyro-arCoeff()-X,4",-0.0676917037743536,-0.0853621022167293
"150","tBodyGyro-arCoeff()-Y,1",-0.208917530308063,-0.203130124559423
"151","tBodyGyro-arCoeff()-Y,2",0.182536485625866,0.164524328369935
"152","tBodyGyro-arCoeff()-Y,3",-0.0598273567097428,-0.0355002921972369
"153","tBodyGyro-arCoeff()-Y,4",0.150347062322932,0.138231498058802
"154","tBodyGyro-arCoeff()-Z,1",-0.0963930628169223,-0.0805711545223277
"155","tBodyGyro-arCoeff()-Z,2",0.0780975228159304,0.0621736652381186
"156","tBodyGyro-arCoeff()-Z,3",-0.0174083321454734,-0.00412192221085405
"157","tBodyGyro-arCoeff()-Z,4",0.141916243476201,0.148224083639474
"158","tBodyGyro-correlation()-X,Y",-0.159859513484698,-0.173134114604188
"159","tBodyGyro-correlation()-X,Z",0.0476249517782796,0.00100659592859603
"160","tBodyGyro-correlation()-Y,Z",-0.07614167376264,-0.117538501748624
"161","tBodyGyroJerk-mean()-X",-0.0937766454820733,-0.0978848005794927
"162","tBodyGyroJerk-mean()-Y",-0.0419889608326603,-0.0424500444089068
"163","tBodyGyroJerk-mean()-Z",-0.0560912847653105,-0.0543249124529731
"164","tBodyGyroJerk-std()-X",-0.734606660052562,-0.730042534759372
"165","tBodyGyroJerk-std()-Y",-0.791374949012555,-0.783932788663656
"166","tBodyGyroJerk-std()-Z",-0.734454412466135,-0.742128207950899
"167","tBodyGyroJerk-mad()-X",-0.735660879943434,-0.727734606219197
"168","tBodyGyroJerk-mad()-Y",-0.802815078436376,-0.794078635509007
"169","tBodyGyroJerk-mad()-Z",-0.742830253620869,-0.748162918611589
"170","tBodyGyroJerk-max()-X",-0.737957253810791,-0.750996546898436
"171","tBodyGyroJerk-max()-Y",-0.813650312704717,-0.808408375619255
"172","tBodyGyroJerk-max()-Z",-0.731549521753312,-0.747154397263643
"173","tBodyGyroJerk-min()-X",0.763138729760468,0.759570624939902
"174","tBodyGyroJerk-min()-Y",0.829881180507974,0.830433549989581
"175","tBodyGyroJerk-min()-Z",0.796129831705124,0.800745536864323
"176","tBodyGyroJerk-sma()",-0.770629564242009,-0.765284271683342
"177","tBodyGyroJerk-energy()-X",-0.923799481632168,-0.914182506378074
"178","tBodyGyroJerk-energy()-Y",-0.947472476104513,-0.936367486596083
"179","tBodyGyroJerk-energy()-Z",-0.919837731924194,-0.919367252593988
"180","tBodyGyroJerk-iqr()-X",-0.746357816807363,-0.734005606859275
"181","tBodyGyroJerk-iqr()-Y",-0.816418935295894,-0.805695174222225
"182","tBodyGyroJerk-iqr()-Z",-0.76570896045134,-0.76660655729579
"183","tBodyGyroJerk-entropy()-X",0.0155530876453851,-0.0275140835148994
"184","tBodyGyroJerk-entropy()-Y",0.0614184817358331,0.00153307688352693
"185","tBodyGyroJerk-entropy()-Z",0.0198527703293994,-0.0291278231633202
"186","tBodyGyroJerk-arCoeff()-X,1",-0.0766239819654971,-0.0708138606077965
"187","tBodyGyroJerk-arCoeff()-X,2",0.057467404770248,0.0342851124687727
"188","tBodyGyroJerk-arCoeff()-X,3",0.156328260106815,0.161005133527254
"189","tBodyGyroJerk-arCoeff()-X,4",0.142661796188445,0.173577293844027
"190","tBodyGyroJerk-arCoeff()-Y,1",-0.168110795034958,-0.160061127796893
"191","tBodyGyroJerk-arCoeff()-Y,2",0.215657620867143,0.193968811430816
"192","tBodyGyroJerk-arCoeff()-Y,3",0.0795222343462457,0.0851341853349223
"193","tBodyGyroJerk-arCoeff()-Y,4",0.0739770164084398,0.0827634196711156
"194","tBodyGyroJerk-arCoeff()-Z,1",-0.035413887793943,-0.025943914657302
"195","tBodyGyroJerk-arCoeff()-Z,2",0.0598700394446624,0.0493819667431016
"196","tBodyGyroJerk-arCoeff()-Z,3",0.0926706232331944,0.0872521667708492
"197","tBodyGyroJerk-arCoeff()-Z,4",0.0180160251187727,0.0397494067037156
"198","tBodyGyroJerk-correlation()-X,Y",0.0255639723235901,0.0414990119053316
"199","tBodyGyroJerk-correlation()-X,Z",0.0497090776696995,0.049097300806823
"200","tBodyGyroJerk-correlation()-Y,Z",-0.0762854878251001,-0.128592671715548
"201","tBodyAccMag-mean()",-0.559042708835793,-0.543884114663085
"202","tBodyAccMag-std()",-0.597066786740935,-0.588883817159513
"203","tBodyAccMag-mad()",-0.650840574711459,-0.639374185379537
"204","tBodyAccMag-max()",-0.562458826263977,-0.55709889013106
"205","tBodyAccMag-min()",-0.835856787366814,-0.838618284983433
"206","tBodyAccMag-sma()",-0.559042708835793,-0.543884114663085
"207","tBodyAccMag-energy()",-0.794602932844248,-0.770596447949918
"208","tBodyAccMag-iqr()",-0.718070039431625,-0.696384339396409
"209","tBodyAccMag-entropy()",0.15399201535922,0.124323973922695
"210","tBodyAccMag-arCoeff()1",-0.0622009792271792,-0.0724810927167215
"211","tBodyAccMag-arCoeff()2",0.0217412498656424,0.0249642693848383
"212","tBodyAccMag-arCoeff()3",0.0533213333066138,0.060691572018232
"213","tBodyAccMag-arCoeff()4",-0.0559323093109603,-0.0586749029308702
"214","tGravityAccMag-mean()",-0.559042708835793,-0.543884114663085
"215","tGravityAccMag-std()",-0.597066786740935,-0.588883817159513
"216","tGravityAccMag-mad()",-0.650840574711459,-0.639374185379537
"217","tGravityAccMag-max()",-0.562458826263977,-0.55709889013106
"218","tGravityAccMag-min()",-0.835856787366814,-0.838618284983433
"219","tGravityAccMag-sma()",-0.559042708835793,-0.543884114663085
"220","tGravityAccMag-energy()",-0.794602932844248,-0.770596447949918
"221","tGravityAccMag-iqr()",-0.718070039431625,-0.696384339396409
"222","tGravityAccMag-entropy()",0.15399201535922,0.124323973922695
"223","tGravityAccMag-arCoeff()1",-0.0622009792271792,-0.0724810927167215
"224","tGravityAccMag-arCoeff()2",0.0217412498656424,0.0249642693848383
"225","tGravityAccMag-arCoeff()3",0.0533213333066138,0.060691572018232
"226","tGravityAccMag-arCoeff()4",-0.0559323093109603,-0.0586749029308702
"227","tBodyAccJerkMag-mean()",-0.646836999959518,-0.650452507463381
"228","tBodyAccJerkMag-std()",-0.61550707017964,-0.632675631504943
"229","tBodyAccJerkMag-mad()",-0.635782905288561,-0.651417195832324
"230","tBodyAccJerkMag-max()",-0.629031057028517,-0.642578196599804
"231","tBodyAccJerkMag-min()",-0.792337856197794,-0.785688883540846
"232","tBodyAccJerkMag-sma()",-0.646836999959518,-0.650452507463381
"233","tBodyAccJerkMag-energy()",-0.853954970622328,-0.850016394988553
"234","tBodyAccJerkMag-iqr()",-0.692212058160324,-0.702024850824225
"235","tBodyAccJerkMag-entropy()",-0.0304555375692908,-0.0741285250599823
"236","tBodyAccJerkMag-arCoeff()1",0.077203795951644,0.0793820318751616
"237","tBodyAccJerkMag-arCoeff()2",-0.0273130652871802,-0.0297272272277447
"238","tBodyAccJerkMag-arCoeff()3",-0.108210359581577,-0.0843429330119719
"239","tBodyAccJerkMag-arCoeff()4",-0.0224355584702673,-0.0493842646336723
"240","tBodyGyroMag-mean()",-0.611100970282806,-0.60290267419789
"241","tBodyGyroMag-std()",-0.679397473801914,-0.655773076645294
"242","tBodyGyroMag-mad()",-0.649077359729627,-0.62262389402683
"243","tBodyGyroMag-max()",-0.702665540709332,-0.692168801963305
"244","tBodyGyroMag-min()",-0.717621693959796,-0.734977935130426
"245","tBodyGyroMag-sma()",-0.611100970282806,-0.60290267419789
"246","tBodyGyroMag-energy()",-0.848147407425178,-0.829501367734372
"247","tBodyGyroMag-iqr()",-0.670823581940041,-0.646773129291145
"248","tBodyGyroMag-entropy()",0.298640993773992,0.210053015171874
"249","tBodyGyroMag-arCoeff()1",-0.010646507411735,-0.029993015947181
"250","tBodyGyroMag-arCoeff()2",-0.0757517519588018,-0.0666237353481209
"251","tBodyGyroMag-arCoeff()3",0.0978009938703766,0.111542631687126
"252","tBodyGyroMag-arCoeff()4",-0.0438170442856159,-0.0587107104269389
"253","tBodyGyroJerkMag-mean()",-0.766675145324058,-0.76031877071401
"254","tBodyGyroJerkMag-std()",-0.778438755546963,-0.777814563933515
"255","tBodyGyroJerkMag-mad()",-0.7939366749251,-0.792048719989282
"256","tBodyGyroJerkMag-max()",-0.78420330057434,-0.78479362175167
"257","tBodyGyroJerkMag-min()",-0.804298685806821,-0.802288026064078
"258","tBodyGyroJerkMag-sma()",-0.766675145324058,-0.76031877071401
"259","tBodyGyroJerkMag-energy()",-0.938612324265355,-0.929222450150177
"260","tBodyGyroJerkMag-iqr()",-0.809905414062301,-0.805181767439053
"261","tBodyGyroJerkMag-entropy()",0.181215539467625,0.110408124775235
"262","tBodyGyroJerkMag-arCoeff()1",0.303486969580268,0.279667555047275
"263","tBodyGyroJerkMag-arCoeff()2",-0.238337838346138,-0.222374950564907
"264","tBodyGyroJerkMag-arCoeff()3",-0.0796690569723614,-0.0485924566475785
"265","tBodyGyroJerkMag-arCoeff()4",-0.0822449328473295,-0.116488160421038
"266","fBodyAcc-mean()-X",-0.623187172025789,-0.622591094241971
"267","fBodyAcc-mean()-Y",-0.533704504523275,-0.539011987338569
"268","fBodyAcc-mean()-Z",-0.676499353482365,-0.660437498147756
"269","fBodyAcc-std()-X",-0.61122867301849,-0.600200679116289
"270","fBodyAcc-std()-Y",-0.527827739028785,-0.52865741726163
"271","fBodyAcc-std()-Z",-0.641101293844768,-0.608564634053334
"272","fBodyAcc-mad()-X",-0.59208296744269,-0.590246854116903
"273","fBodyAcc-mad()-Y",-0.520806631990852,-0.522760174896146
"274","fBodyAcc-mad()-Z",-0.646540156389881,-0.626637485322848
"275","fBodyAcc-max()-X",-0.662105438840044,-0.647310190153109
"276","fBodyAcc-max()-Y",-0.654547826811524,-0.659496697165567
"277","fBodyAcc-max()-Z",-0.661021564558907,-0.625516820476704
"278","fBodyAcc-min()-X",-0.86403516027209,-0.852769381076143
"279","fBodyAcc-min()-Y",-0.880575865301697,-0.880085151813044
"280","fBodyAcc-min()-Z",-0.916783250552087,-0.912571978978536
"281","fBodyAcc-sma()",-0.558166634600326,-0.554051694427828
"282","fBodyAcc-energy()-X",-0.839302790053614,-0.820571377016997
"283","fBodyAcc-energy()-Y",-0.754513648440109,-0.751648891409331
"284","fBodyAcc-energy()-Z",-0.863328071440414,-0.830449785583147
"285","fBodyAcc-iqr()-X",-0.644483411037978,-0.655809875103258
"286","fBodyAcc-iqr()-Y",-0.642010812489862,-0.653070787681248
"287","fBodyAcc-iqr()-Z",-0.746812923821004,-0.746749413620063
"288","fBodyAcc-entropy()-X",-0.174144171606203,-0.21076886123886
"289","fBodyAcc-entropy()-Y",-0.160413824276043,-0.193250828877081
